FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.21,Denmark,DK35,Operational,Tyra WC,Fixed steel,Above water production,Mærsk,5504/11,Natural Gas,1499,815,,19840101,,41,210002.399704,Wellhead,POINT (4.74882820800002 55.71545852200006)
platforms.22,Denmark,DK32,Operational,Tyra EF,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,700,3100,,19950101,,37,206740.728192,"Bridge module, processing",POINT (4.801494865000052 55.72186527500003)
platforms.23,Denmark,DK14,Operational,Gorm B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,945,,19810101,,38,209016.128718,Wellhead,POINT (4.759032454000021 55.57920354300006)
platforms.24,Denmark,DK17,Operational,Gorm E,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1634,3900,,19810101,,38,208872.107172,Riser. Owner: DONG OIL PIPE AS,POINT (4.761264691000065 55.581422305000046)
platforms.25,Denmark,DK13,Operational,Gorm A,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,1100,,19810101,,38,209000.693624,Wellhead,POINT (4.759263584000053 55.57977807200007)
platforms.26,Denmark,DK19,Operational,Harald A,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,3800,6000,,19970101,,64,237473.585834,"Wellhead, processing",POINT (4.27347012000007 56.345890015000066)
platforms.28,Denmark,DK04,Operational,Dan C,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,385,100,,19720101,,42,185760.411797,Flare,POINT (5.135707927000055 55.47031416600004)
platforms.29,Denmark,DK31,Operational,Tyra EE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1628,1415,,19840101,,37,206706.056992,Riser,POINT (4.801995694000027 55.72140734000004)
platforms.30,Denmark,DK09,Operational,Dan FC,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1700,8700,,19870101,,43,187492.789332,Process/accommodation,POINT (5.107164643000033 55.478882860000056)
platforms.31,Denmark,DK49,Operational,Halfdan BA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,3050,2500,,20020101,,43,191876.243179,"Wellhead, separation",POINT (5.032284983000068 55.53866351900007)
platforms.32,Denmark,DK64,Operational,Syd Arne - wellhead platform E,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2224,1932,,20130101,,60,240755.470604,Wellhead platform. Bridge connected to Syd Arne. S./P. = 2224 t /2014 t,POINT (4.232315572000061 56.078889366000055)
platforms.33,Denmark,DK44,Operational,Cecilie,Fixed steel,Above water production,DONG E & P,5604/20,Crude Oil,2000,700,,20030101,,60,207166.993093,"Wellhead, satellite to Siri/removable",POINT (4.761058337000065 56.40275883700008)
platforms.34,Denmark,DK46,Operational,Nini B,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,,20100101,,60,166737.400503,"Wellhead, satellite to Siri/removable",POINT (5.413858811000068 56.67539801400005)
platforms.35,Denmark,DK16,Operational,Gorm D,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,750,220,,19810101,,38,208862.345636,Flare,POINT (4.761457739000036 55.57971403200003)
platforms.36,Denmark,DK10,Operational,Dan FD,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,491,250,,19870101,,43,187465.200133,Flare,POINT (5.1074712130000535 55.479956892000075)
platforms.37,Denmark,DK41,Operational,Halfdan DA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,2800,800,,20000101,,43,193494.566726,"Wellhead, processing",POINT (5.007153549000066 55.53078739500006)
platforms.38,Denmark,DK28,Operational,Tyra EB,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1417,838,,19840101,,37,206797.527188,Wellhead,POINT (4.800462702000061 55.72073830200003)
platforms.39,Denmark,DK56,Operational,Halfdan BC,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,2000,3000,,20070101,,43,191722.42241,Accommodation,POINT (5.034680773000048 55.53935046300006)
platforms.40,Denmark,DK08,Operational,Dan FB,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1705,2100,,19870101,,43,187390.262327,Wellhead,POINT (5.108705871000041 55.47956839900007)
platforms.41,Denmark,DK39,Operational,Tyra EA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,4120,18000,,19840101,,37,206641.291755,Process/accommodation,POINT (4.803089956000065 55.721955999000045)
platforms.42,Denmark,DK07,Operational,Dan FA,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1690,1970,,19870101,,43,187314.657244,Wellhead,POINT (5.109798257000023 55.48044176600007)
platforms.43,Denmark,DK63,Operational,Syd Arne - wellhead platform N,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2333,1762,,20130101,,60,241452.867118,Wellhead platform. Satellite to Syd Arne. S./P. = 2333 t /2122 t,POINT (4.22069151900007 56.09640088000003)
platforms.44,Denmark,DK27,Operational,Svend,Fixed steel,Above water production,Mærsk,5504/25,Crude Oil,1150,575,,19960101,,65,243986.721713,Wellhead,POINT (4.180768150000063 56.179031415000054)
platforms.45,Denmark,DK54,Operational,Valdemar BA,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,1400,460,,20070101,,42,222249.437004,Wellhead,POINT (4.565699323000047 55.80472189900007)
platforms.46,Denmark,DK38,Operational,Valdemar AA,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,650,450,,19930101,,43,222161.273811,Wellhead,POINT (4.5628840200000695 55.834974070000044)
platforms.47,Denmark,DK43,Operational,Nini A,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,,20030101,,60,172096.50984,"Wellhead, satellite to Siri/removable",POINT (5.322553869000046 56.64143398900006)
platforms.48,Denmark,DK42,Operational,Siri,Other,Above water production,DONG E & P,5604/20,Crude Oil,2000,8000,,19990101,,60,197256.477949,Steeltank on seabottom/removable,POINT (4.912579906000076 56.483325800000046)
platforms.49,Denmark,DK22,Operational,Roar,Fixed steel,Above water production,Mærsk,5504/7,Natural Gas,950,550,,19960101,,46,216628.168156,"Wellhead, separation",POINT (4.649745987000074 55.76815295800003)
platforms.50,Denmark,DK48,Operational,Tyra SEA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,880,550,,20020101,,38,201160.518757,"Wellhead, separation",POINT (4.884047464000048 55.64028761600008)
platforms.51,Denmark,DK33,Operational,Tyra WA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1813,9500,,19840101,,41,209845.062629,Process/accommodation,POINT (4.751501820000044 55.71705228400003)
platforms.52,Denmark,DK52,Operational,Dan FG,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,2900,11000,,20050101,,43,187322.322885,Process,POINT (5.110091554000064 55.47705246100003)
platforms.53,Denmark,DK21,Operational,Kraka,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,550,400,,19910101,,45,189995.059422,Wellhead,POINT (5.079769834000047 55.40272017600006)
platforms.54,Denmark,DK05,Operational,Dan D,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1050,100,,19720101,,42,185811.585156,Wellhead,POINT (5.135016363000034 55.469409589000065)
platforms.55,Denmark,DK37,Operational,Tyra WE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1000,4000,,19840101,,41,209903.968273,"Bridge module, processing",POINT (4.750456687000053 55.71603777900003)
platforms.57,Denmark,DK03,Operational,Dan B,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1045,1700,,19720101,,42,185841.763938,"Separation, accomodation",POINT (5.134497846000045 55.46971288700007)
platforms.58,Denmark,DK02,Operational,Dan A,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,870,100,,19720101,,42,185875.382866,Wellhead,POINT (5.134004990000051 55.46941078100008)
platforms.59,Denmark,DK30,Operational,Tyra ED,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,579,220,,19840101,,37,206565.731303,Flare,POINT (4.8042004840000345 55.72112676300003)
platforms.60,Denmark,DK01,Closed down,Dagmar,Fixed steel,Above water production,Mærsk,5504/15,Crude Oil,500,532,,19910101,,40,217813.764964,"Wellhead, production closed p.t.",POINT (4.619659378000051 55.577148934000036)
platforms.61,Denmark,DK50,Operational,Halfdan DB,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1000,2200,,20030101,,43,193580.921455,Accommodation,POINT (5.00572580000005 55.53166960200008)
platforms.62,Denmark,DK66,Under construction,Hejre A,Fixed steel,Above water production,DONG E & P,5603/28,Crude Oil,8400,17500,,20170101,,68,257528.141425,"HPHT. Weights are approximate, excluding 8 piles.",POINT (3.960313048000046 56.247438499000054)
platforms.64,Denmark,DK18,Operational,Gorm F,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,2000,11000,,19910101,,38,209052.614707,"Wellhead, processing",POINT (4.758457348000036 55.57907133100008)
platforms.65,Denmark,DK26,Operational,Skjold C,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,830,1200,,19940101,,40,199736.037658,Accommodation,POINT (4.908185673000048 55.53221390200008)
platforms.67,Denmark,DK55,Operational,Halfdan BB,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1800,1380,,20080101,,43,191829.047622,"Riser, wellhead",POINT (5.0330135260000475 55.538982702000055)
platforms.68,Denmark,DK25,Operational,Skjold B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,545,1100,,19940101,,40,199597.462817,"Wellhead, bridge module",POINT (4.91041625500003 55.53168808400005)
platforms.69,Denmark,DK06,Operational,Dan E,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1100,600,,19770101,,42,186812.473345,"Water Injection, no production",POINT (5.117647014000056 55.481350761000044)
platforms.71,Denmark,DK67,Under construction,Ravn A,Fixed steel,Above water production,Wintershall,5504/1,Crude Oil,1112,678,,20150101,,48,241999.036683,"Wellhead, satellite to German A6-A. S./P. = 1112/970 tonnes.",POINT (4.234665716000052 55.88058498300006)
platforms.72,Denmark,DK11,Operational,Dan FE,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,550,1270,,19920101,,43,187260.276148,"Wellhead, bridge module",POINT (5.110592367000038 55.48100408500005)
platforms.73,Denmark,DK53,Operational,Valdemar AB,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,1400,480,,20060101,,43,222139.14292,"Wellhead, separation",POINT (4.5633667890000424 55.83443075000008)
platforms.74,Denmark,DK20,Operational,Harald B,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,1700,1300,,19970101,,64,237484.934058,Accommodation,POINT (4.2733681130000605 56.344794903000036)
platforms.56,Denmark,DK59,Closed down,Regnar - utility buoy,Floating steel,Subsea,Mærsk,5505/17,Crude Oil,,440,,19930101,,45,180652.932434,Removed from location p.t.,POINT (5.231771432000073 55.38603776000008)
platforms.75,Denmark,DK24,Operational,Skjold A,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1408,2400,,19820101,,40,199640.611906,Wellhead,POINT (4.909751839000023 55.531406365000066)
platforms.76,Denmark,DK34,Operational,Tyra WB,Fixed steel,Above water production,Mærsk,5504/11,Natural Gas,1399,1300,,19840101,,41,209939.17602,Wellhead,POINT (4.749928365000073 55.716348423000056)
platforms.77,Denmark,DK36,Operational,Tyra WD,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,673,200,,19840101,,41,209754.694985,Flare,POINT (4.752861950000067 55.716297603000044)
platforms.78,Denmark,DK65,Operational,Tyra SEB,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,2092,1170,,20140101,,38,201096.585264,"Wellhead, separation. Weight of 12 piles 1700 tonnes.",POINT (4.885069447000035 55.64046844600006)
platforms.79,Denmark,DK23,Operational,Rolf,Fixed steel,Above water production,Mærsk,5504/14,Crude Oil,1400,1900,,19860101,,43,225780.234989,Wellhead,POINT (4.492896395000059 55.60666144900006)
platforms.80,Denmark,DK47,Operational,Syd Arne,Gravity-based concrete,Above water production,Hess Denmark,5604/29,Crude Oil,112800,8955,,19990101,,60,240880.241856,Substructure weigth includes sub sea tank,POINT (4.230308927000067 56.079014131000065)
platforms.81,Denmark,DK58,Operational,Halfdan BD,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,3500,9300,,20110101,,43,191952.508909,s./p. = 3500/2600,POINT (5.031136422000031 55.53767940700004)
platforms.82,Denmark,DK57,Operational,Halfdan CA,Fixed steel,Above water production,Mærsk,5505/13,Natural Gas,1100,630,,20080101,,45,185275.927478,"Wellhead, separation",POINT (5.1358990600000425 55.55789425100005)
platforms.83,Denmark,DK51,Operational,Halfdan DC,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1150,500,,20030101,,43,193458.129039,Flare,POINT (5.007657025000071 55.53187738500003)
platforms.85,Denmark,DK12,Operational,Dan FF,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,3300,14300,,19970101,,65,187394.654541,"Wellhead, processing",POINT (5.108834754000043 55.477946090000046)
platforms.86,Denmark,DK15,Operational,Gorm C,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,3500,10200,,19810101,,38,208946.986201,Process/accommodation,POINT (4.760102492000044 55.58031377000003)
platforms.87,Denmark,DK29,Operational,Tyra EC,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1419,1375,,19840101,,37,206860.459713,Wellhead,POINT (4.7993610010000225 55.719853181000076)
platforms.88,Germany,DE05,Operational,A6-A,Fixed steel,Above water production,Wintershall,A6,Natural Gas,1191,3366,,20000101,,48,258194.61097,,POINT (3.9863900000000285 55.82222200000007)
platforms.89,Germany,389761120,Operational,A6-A,Fixed steel,Production,WIN,A6,Natural Gas,1191,3366,,20000101,,48,257865.730736,,POINT (3.994333746000052 55.791364971000064)
platforms.247,Netherlands,831754655,Operational,B13-A,Fixed steel,Production,PETROGAS,,Natural Gas,1060,1250,,,,0,222373.049158,,POINT (4.0982243250000465 55.285502585000074)
platforms.321,Netherlands,1996820445,Operational,A-18,Fixed steel,Production,PETROGAS,A18 blok EEZ,Natural Gas,1060,1250,,20160101,,0,210464.258146,Production stopped 01-12-2015,POINT (3.8340228370000204 55.10557025600008)
platforms.357,Netherlands,695482008,Decommissioned,F3-FA (verwijderd),Other,Production,SPIRIT,Block F3,Natural Gas,5500,4000,,20110101,,0,175796.718086,SIP platform (Self Installing Platform),POINT (4.901453074000074 54.98594736100006)
platforms.412,Netherlands,118117682,Operational,F2-A-Hanze,Other,Production,DANA,NCP,Crude Oil,44000,5300,,20010101,,42,177097.845317,Steel Gravity Based Structure,POINT (4.573968255000068 54.94529473300008)
platforms.418,Netherlands,307342417,Operational,A12 Central Processing Platform,Fixed steel,Production,PETROGAS,A12-03,Natural Gas,1100,3274,,20080101,,29.5,240850.388263,,POINT (3.8114503100000547 55.39963694900007)
platforms.499,Norway,271665,Operational,ULA QP,Fixed steel,Above water production,Aker BP ASA,NO_7/12,Crude Oil,4207,7942,,19861001,,71,231616.063283,JACKET 4 LEGS; QUARTER,POINT (2.845983300000057 57.11108060000004)
platforms.513,Norway,280961,Operational,VALHALL FLANKE SØR,Fixed steel,Above water production,Aker BP ASA,NO_2/11,Crude Oil,3650,2400,,20030508,,66.69999695,281698.242746,JACKET 4 LEGS; WELLHEAD,POINT (3.4373944000000733 56.22771110000008)
platforms.515,Norway,272001,Decommissioned,EKOFISK R,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Natural Gas,6464,4532,,19770901,,76.80000305,262768.890892,JACKET 8 LEGS,POINT (3.2117194000000495 56.550658300000066)
platforms.556,Norway,281437,Closed down,ELDFISK FTP-FL,Fixed steel,Other,ConocoPhillips Skandinavia AS,NO_2/7,Crude Oil,671,150,,19790801,,70,276985.371412,JACKET TRIPOD; FLARE STACK,POINT (3.2672611000000416 56.37375830000008)
platforms.559,Norway,277489,Operational,OSEBERG ØST,Fixed steel,Above water production,Equinor Energy AS,NO_30/6,Crude Oil,6782,9540,,19990503,,157,92467.8005761,JACKET 4 LEGS; DRILLING - PROCESSING - QUARTER,POINT (2.935219400000051 60.70049720000003)
platforms.565,Norway,277713,Operational,NJORD A,Floating steel,Above water production,Equinor Energy AS,NO_6407/7,Crude Oil,10701,15405,,19971001,,330,73848.4842263,SEMISUB STEEL; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (7.201522200000056 64.27098890000008)
platforms.568,Norway,272589,Operational,STATFJORD B-OLS,Other,Other,Equinor Energy AS,NO_33/12,Crude Oil,3949,1449,,19900801,,146,144913.426747,LOADING SYSTEM; OFFLOADING,POINT (1.838644400000021 61.22441670000006)
platforms.573,Norway,364198,Operational,EKOFISK M,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,7017,8970,,20051023,,78.40000153,262830.825223,JACKET 4 LEGS; OIL PRODUCER - PROCESSING - WELLHEAD,POINT (3.223044400000049 56.54537780000004)
platforms.579,Norway,271777,Operational,HEIMDAL,Fixed steel,Above water production,Equinor Energy AS,NO_25/4,Natural Gas,16200,20600,,19851015,,120,151909.426404,JACKET 8 LEGS; DISTRIBUTION - DRILLING - OIL PRODUCER - PROCESSING - QUARTER - WELLHEAD,POINT (2.228805600000044 59.57416110000008)
platforms.584,Norway,272365,Operational,SLEIPNER A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_15/9,Natural Gas,241360,43822,,19931001,,83,197818.536407,CONDEEP 4 SHAFTS; DRILLING - PROCESSING - QUARTER,POINT (1.9086139000000344 58.367313900000056)
platforms.594,Norway,277629,Operational,SLEIPNER T,Fixed steel,Above water production,Equinor Energy AS,NO_15/9,Natural Gas,6478,21804,,19970401,,82.5,197847.360339,JACKET 6 LEGS; PROCESSING,POINT (1.9064806000000658 58.36860560000008)
platforms.600,Norway,280849,Operational,RINGHORNE,Fixed steel,Above water production,Vår Energi ASA,NO_25/8,Crude Oil,9164,12590,,20030210,,128.5,136505.734631,JACKET 4 LEGS; DRILLING - PROCESSING - QUARTER,POINT (2.4498583000000735 59.266058300000054)
platforms.613,Norway,272085,Operational,SNORRE A,Floating steel,Above water production,Equinor Energy AS,NO_34/7,Crude Oil,17586,43435,,19920803,,335,130734.298078,TLP STEEL; DRILLING - PROCESSING - QUARTER,POINT (2.1443444000000227 61.44933610000004)
platforms.624,Norway,272897,Operational,OSEBERG B,Fixed steel,Above water production,Equinor Energy AS,NO_30/9,Crude Oil,18800,15019,,19881201,,108,105093.422899,JACKET 8 LEGS; DRILLING,POINT (2.8282528000000298 60.49333890000008)
platforms.630,Norway,271917,Operational,GULLFAKS B,Gravity-based concrete,Above water production,Equinor Energy AS,NO_34/10,Crude Oil,233000,27395,,19880229,,141,125283.816838,CONDEEP 4 SHAFTS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,POINT (2.20130000000006 61.20291670000006)
platforms.639,Norway,271273,Operational,STATFJORD A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_33/9,Crude Oil,254000,41300,,19791124,,145,144580.03236,CONDEEP 3 SHAFTS; DRILLING - PROCESSING - QUARTER - STORAGE,POINT (1.8538750000000732 61.255683300000044)
platforms.644,Norway,272617,Decommissioned,STATFJORD C-SPM,Other,Other,Equinor Energy AS,NO_33/9,Crude Oil,3949,1449,,19840701,,145,143445.504343,LOADING SYSTEM; OFFLOADING,POINT (1.883833300000049 61.28105560000006)
platforms.645,Norway,271609,Operational,ELDFISK B,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/7,Crude Oil,6234,12215,,19790801,,71,274459.993375,JACKET 12 LEGS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (3.2183944000000224 56.41933060000008)
platforms.647,Norway,279365,Decommissioned,JOTUN B,Fixed steel,Above water production,Vår Energi ASA,NO_25/8,Crude Oil,9346,12182,,19991021,,127,142074.00532,JACKET 4 LEGS; DRILLING - WELLHEAD,POINT (2.366908300000034 59.451019400000064)
platforms.628,Norway,279393,Operational,JOTUN A,Floating steel,Above water production,Vår Energi ASA,NO_25/8,Crude Oil,,37061,,19991021,,126,141033.098772,FPSO; OFFLOADING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,POINT (2.3863583000000403 59.455255600000044)
platforms.655,Norway,271581,Operational,ELDFISK A,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/7,Crude Oil,6200,10679,,19790801,,71,276744.741268,JACKET 12 LEGS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (3.265802800000074 56.37688060000005)
platforms.658,Norway,277405,Operational,BRAGE,Fixed steel,Above water production,Wintershall Dea Norge AS,NO_31/4,Crude Oil,13200,19200,,19930923,,136,92296.2343784,JACKET 8 LEGS; DRILLING - PROCESSING - QUARTER,POINT (3.0467972000000714 60.54255830000005)
platforms.661,Norway,272421,Operational,HEIDRUN,Floating concrete,Above water production,Equinor Energy AS,NO_6507/7,Crude Oil,290000,65000,,19951019,,345,158665.314477,TLP CONCRETE; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (7.317500000000052 65.32583330000006)
platforms.664,Norway,271833,Operational,GULLFAKS A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_34/10,Crude Oil,340000,48590,,19861221,,133,125577.942493,CONDEEP 4 SHAFTS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,POINT (2.1891500000000406 61.17610560000003)
platforms.675,Norway,271413,Operational,EKOFISK B,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,5180,4643,,19741001,,74,261746.541403,JACKET 12 LEGS; DRILLING - OIL PRODUCER - PROCESSING - WELLHEAD,POINT (3.2036889000000315 56.56535280000003)
platforms.681,Norway,277573,Decommissioned,HULDRA,Fixed steel,Above water production,Equinor Energy AS,NO_30/2,Natural Gas,7050,4100,,20011121,,125,102123.72906,JACKET 4 LEGS; OIL PRODUCER - WELLHEAD,POINT (2.650325000000066 60.85582500000004)
platforms.674,Norway,272309,Closed down,HOD,Fixed steel,Above water production,Aker BP ASA,NO_2/11,Crude Oil,,1029,,19900801,,72,285080.800875,JACKET 4 LEGS; OIL PRODUCER - WELLHEAD,POINT (3.4600611000000754 56.176533300000074)
platforms.703,Norway,272281,Decommissioned,EKOFISK FTP,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,4780,7192,,19740401,,76.80000305,262988.067219,JACKET 8 LEGS; PROCESSING - RISER,POINT (3.2167389000000526 56.54618060000007)
platforms.716,Norway,277601,Operational,SLEIPNER B,Fixed steel,Above water production,Equinor Energy AS,NO_15/9,Natural Gas,7062,4317,,19970401,,107.59999847,204504.955134,JACKET 4 LEGS; WELLHEAD,POINT (1.7178972000000385 58.417902800000036)
platforms.723,Norway,278329,Operational,TROLL A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_31/6,Natural Gas,528000,25375,,19960515,,302,53617.6004093,CONDEEP 4 SHAFTS; DRILLING - PROCESSING - QUARTER,POINT (3.7264944000000355 60.64563890000005)
platforms.729,Norway,368635,Operational,KRISTIN,Floating steel,Above water production,Equinor Energy AS,NO_6406/2,Natural Gas,56628,19000,,20051103,,360,153627.457556,SEMISUB STEEL; GAS PRODUCER - OIL PRODUCER - PROCESSING - QUARTER,POINT (6.551341700000023 64.99395560000005)
platforms.732,Norway,272449,Closed down,VALHALL PCP,Fixed steel,Above water production,Aker BP ASA,NO_2/8,Crude Oil,7150,13300,,19820601,,74,279262.809479,JACKET 8 LEGS; PROCESSING,POINT (3.3966389000000277 56.27755560000003)
platforms.738,Norway,281129,Decommissioned,EKOFISK BS1,Fixed steel,Other,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,775,68,,19720101,,72,263067.098838,JACKET TRIPOD,POINT (3.2172778000000335 56.545083300000044)
platforms.740,Norway,286029,Operational,ELDFISK B-FL,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/7,Crude Oil,718,150,,19790801,,70,274523.466815,JACKET TRIPOD; FLARE STACK,POINT (3.2194472000000474 56.41823890000006)
platforms.748,Norway,279421,Operational,TROLL C,Floating steel,Above water production,Equinor Energy AS,NO_31/2,Crude Oil,13080,19750,,19991101,,339,50707.6004471,SEMISUB STEEL; PROCESSING - QUARTER,POINT (3.611444400000039 60.88632220000005)
platforms.736,Norway,425117,Operational,EKOFISK L,Fixed steel,Other,ConocoPhillips Skandinavia AS,NO_2/4,,,11860,,20140401,,79,262960.217905,JACKET 4 LEGS; ACCOMMODATION,POINT (3.224402800000064 56.54339170000003)
platforms.766,Norway,272253,Decommissioned,EKOFISK Q,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,1390,2522,,19730101,,76.80000305,262941.962315,JACKET 4 LEGS; ACCOMMODATION,POINT (3.2160306000000674 56.54698060000004)
platforms.784,Norway,280569,Operational,HEIMDAL HRP,Fixed steel,Above water production,Gassco AS,NO_25/4,,8158,2700,,20000930,,120,151961.70806,JACKET 4 LEGS; RISER,POINT (2.2283056000000556 59.57530000000003)
platforms.788,Norway,278525,Operational,EKOFISK X,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,8753,9482,,19970101,,76.80000305,262776.653561,JACKET 4 LEGS; DRILLING,POINT (3.218944400000055 56.54763890000004)
platforms.797,Norway,280205,Operational,OSEBERG SØR,Fixed steel,Above water production,Equinor Energy AS,NO_30/9,Crude Oil,7084,16121,,20000830,,101,109534.495445,JACKET 6 LEGS; DRILLING - PROCESSING - QUARTER,POINT (2.7969611000000327 60.39017220000005)
platforms.801,Norway,277321,Operational,VESLEFRIKK A,Fixed steel,Above water production,Equinor Energy AS,NO_30/3,Crude Oil,16065,6165,,19891226,,174,91130.440139,JACKET 4 LEGS; DRILLING,POINT (2.8978583000000526 60.78270560000004)
platforms.803,Norway,271385,Decommissioned,EKOFISK A,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,3685,3904,,19740101,,74.19999695,265034.606923,JACKET 8 LEGS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (3.2228583000000413 56.52101390000007)
platforms.812,Norway,279505,Decommissioned,VARG A,Fixed steel,Above water production,Chrysaor Norge AS,NO_15/12,Crude Oil,3611,870,,19981222,,84,217567.783498,MONOTOWER; WELLHEAD,POINT (1.890469400000029 58.07791670000006)
platforms.821,Norway,406276,Operational,VALHALL PH,Fixed steel,Above water production,Aker BP ASA,NO_2/8-6,Crude Oil,8400,18500,,20130126,,74,279474.153099,JACKET 4 LEGS; PROCESSING - QUARTER,POINT (3.3955806000000734 56.27552220000007)
platforms.828,Norway,280793,Operational,TAMBAR,Fixed steel,Above water production,Aker BP ASA,NO_1/3,Crude Oil,2010,1117,,20010716,,70,236400.585074,JACKET TRIPOD; WELLHEAD,POINT (2.9587806000000683 56.982755600000075)
platforms.842,Norway,410651,Operational,GUDRUN,Fixed steel,Above water production,Equinor Energy AS,NO_15/3,Crude Oil,10600,11000,,20140407,,109,184376.804438,JACKET 4 LEGS; GAS PRODUCER - OIL PRODUCER - QUARTER - SEPARATION - WELLHEAD,POINT (1.743722200000036 58.84522220000008)
platforms.844,Norway,282305,Operational,SLEIPNER FL,Fixed steel,Other,Equinor Energy AS,NO_15/9,Natural Gas,1344,781,,19930901,,83,197518.215546,JACKET TRIPOD; FLARE STACK,POINT (1.9121750000000475 58.369402800000046)
platforms.849,Norway,271469,Operational,EKOFISK K,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,19820,18093,,19870101,,74,261617.494571,JACKET 8 LEGS; DRILLING - QUARTER - WATER INJECTION,POINT (3.2061056000000576 56.56580280000003)
