FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.858,Norway,451651,Operational,JOHAN SVERDRUP LQ,,,Equinor Energy AS,,,,,,20190501,,113.40000153,140856.038781,JACKET 4 LEGS; ACCOMMODATION - QUARTER,POINT (2.547255600000028 58.835883300000035)
platforms.859,Norway,377763,Under construction,TYRIHANS W,Subsea steel,Subsea,Equinor Energy AS,NO_6407/1,Crude Oil,,,,,,282,126110.777349,MULTI WELL TEMPLATE; WATER INJECTION,POINT (7.015316700000028 64.83491390000006)
platforms.860,Norway,278721,Operational,ÅSGARD E,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,19990520,,305,158374.94637,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,POINT (6.611366700000076 65.06831940000006)
platforms.863,Norway,278833,Operational,ÅSGARD S,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Crude Oil,,,,19990520,,300,144564.503602,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.945888900000057 65.01611110000005)
platforms.865,Norway,280513,Decommissioned,PETROJARL 1,Floating steel,Above water production,,NO_15/6,Crude Oil,,,,20010829,,110,193206.755417,FPSO; OFFLOADING - PROCESSING - QUARTER - STORAGE,POINT (1.6681361000000265 58.71330560000007)
platforms.866,Norway,425640,Operational,ALVHEIM WEST RISER BASE,,,Aker BP ASA,,,,,,20080608,,125,164823.316679,SUBSEA STRUCTURE; RISER BASE,POINT (1.9941028000000642 59.56795000000005)
platforms.868,Norway,413766,Operational,ÅSGARD NB,,,Equinor Energy AS,,,,,,20120210,,301,164531.478086,SINGLE WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (6.9082694000000515 65.21700000000004)
platforms.869,Norway,284965,Operational,31/2-D-4 H TROLL D-4,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,20030701,,330,60124.7182433,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.448977800000023 60.85684720000006)
platforms.870,Norway,285861,Operational,31/5-H-1 H TROLL H-1,Subsea steel,Subsea,Equinor Energy AS,NO_31/5,,,,,19960901,,317,62531.8440592,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.5109361000000376 60.71610830000003)
platforms.872,Norway,364315,Operational,SNØHVIT E,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Natural Gas,,,,20070821,,336,101362.490871,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (21.18353060000004 71.59452780000004)
platforms.873,Norway,272841,Decommissioned,GULLFAKS A-SPM 2,Other,Other,Equinor Energy AS,NO_34/10,Crude Oil,,,,19880229,,136,123304.442654,LOADING SYSTEM; OFFLOADING,POINT (2.2297278000000347 61.16725280000003)
platforms.874,Norway,721862,Under construction,JOHAN SVERDRUP O,,,Equinor Energy AS,,,,,,,,116,135034.983785,MULTI WELL TEMPLATE,POINT (2.6797611000000643 58.807388900000035)
platforms.876,Norway,395591,Under construction,KRISTIN Q,Subsea steel,Subsea,Equinor Energy AS,NO_6406/2,Natural Gas,,,,,,320,147644.013113,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (6.434936100000073 64.88116110000004)
platforms.878,Norway,284265,Operational,34/4-K H SNORRE,,,Equinor Energy AS,,,,,,20010627,,340,128388.460594,MULTI WELL TEMPLATE; WATER/GAS INJECTION,POINT (2.21225000000004 61.52540830000004)
platforms.879,Norway,279281,Operational,NORNE D,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19971105,,378,153537.690931,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (8.057866700000034 66.01371940000007)
platforms.881,Norway,285833,Closed down,31/2-G-6 H TROLL G-6,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19951210,,317,65039.6977123,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.443333300000063 60.75240830000007)
platforms.882,Norway,458692,Under construction,DVALIN GAS EXPORT RISER BASE,,,,,,,,,20201001,,345,158246.229511,SUBSEA STRUCTURE,POINT (7.3266722000000755 65.32556390000008)
platforms.883,Norway,445917,Operational,24/6-A-5 Alvheim,,,Aker BP ASA,,,,,,20160401,,125,168903.417292,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.923791700000038 59.57667500000008)
platforms.884,Norway,285189,Operational,6407/7-A-6 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73817.9340348,SINGLE WELL TEMPLATE; GAS INJECTION,POINT (7.202008300000045 64.27081390000006)
platforms.885,Norway,414939,Operational,VISUND SØR,Fixed steel,Subsea,Equinor Energy AS,NO_34/8,Natural Gas,,,,20121122,,292,118192.534306,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (2.3637083000000416 61.30056390000004)
platforms.889,Norway,426277,Operational,SVALIN C,Fixed steel,Subsea,Equinor Energy AS,NO_25/11,Crude Oil,,,,20140906,,125,139974.092997,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.4083806000000436 59.14320280000004)
platforms.891,Norway,415159,Operational,25/5-D-1 H ATLA,Subsea steel,Subsea,TotalEnergies EP Norge AS,NO_25/5,Natural Gas,,,,20121007,,119,135327.019544,SINGLE WELL TEMPLATE; GAS PRODUCER,POINT (2.569344400000034 59.66007780000007)
platforms.893,Norway,365044,Decommissioned,15/6-A-5 H Glitne,Subsea steel,Subsea,,NO_15/6,Crude Oil,,,,20030930,,112,193295.188779,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.6668500000000677 58.71282780000007)
platforms.894,Norway,456808,Operational,JOHAN SVERDRUP STATPIPE PLEM,,,Equinor Energy AS,,,,,,20191005,,128,4012.48976029,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,POINT (5.052894400000071 59.32661110000004)
platforms.895,Norway,435377,Operational,OSEBERG DELTA P,,,Equinor Energy AS,,,,,,20150221,,104,113164.791404,MULTI WELL TEMPLATE; GAS INJECTOR - OIL PRODUCER,POINT (2.695100000000025 60.456944400000054)
platforms.900,Norway,277853,Operational,DRAUGEN B,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,263,64980.6011221,MULTI WELL TEMPLATE; WATER INJECTION,POINT (7.795816700000046 64.40026390000003)
platforms.901,Norway,278469,Operational,STATFJORD NORD E,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19950123,,265,142203.977802,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (1.9251111000000378 61.43425000000008)
platforms.902,Norway,285329,Operational,NJORD SDU-1,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73859.0026907,SUBSEA STRUCTURE; DISTRIBUTION,POINT (7.201244400000064 64.27098610000007)
platforms.903,Norway,719637,Under construction,25/11 BALDER FT,,,Vår Energi ASA,,,,,,,,125,138163.719662,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (2.4254667000000723 59.218719400000055)
platforms.904,Norway,408458,Operational,SKARV A,Subsea steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,324,163254.227147,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (7.655883300000028 65.73867500000006)
platforms.908,Norway,430439,Closed down,25/11-B-24 H,Subsea steel,Subsea,Vår Energi ASA,NO_25/11,Crude Oil,,,,20131118,,127,141221.923421,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.3785306000000332 59.17811670000003)
platforms.910,Norway,442355,Operational,25/11-A-27 H BALDER,,,Vår Energi ASA,,,,,,20150630,,127,142271.567149,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.357675000000029 59.190922200000045)
platforms.912,Norway,718740,Under construction,25/11 BALDER D,,,Vår Energi ASA,,,,,,,,125,139032.661984,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (2.413055600000064 59.19986670000003)
platforms.913,Norway,286085,Operational,31/5-I-32 H TROLL I-32,Subsea steel,Subsea,Equinor Energy AS,NO_31/5,,,,,20030301,,315,57839.0765409,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.598700000000065 60.71667780000007)
platforms.914,Norway,371558,Operational,FRAM T-1,Subsea steel,Subsea,Equinor Energy AS,NO_35/11,,,,,20061030,,360,50165.3216891,SUBSEA STRUCTURE; T-CONNECTION,POINT (3.573558300000059 61.02423610000005)
platforms.915,Norway,272729,Closed down,34/10-A-3 H,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,19870212,,138,124525.482014,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.211461100000065 61.18729440000004)
platforms.916,Norway,283817,Operational,25/11-B-11 H BALDER,,,Vår Energi ASA,,,,,,19991015,,127,141197.428185,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.3788889000000495 59.17848330000004)
platforms.917,Norway,377726,Operational,TYRIHANS D,Subsea steel,Subsea,Equinor Energy AS,NO_6406/3,Crude Oil,,,,20090708,,266,121969.449856,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.990716700000064 64.77973890000004)
platforms.918,Norway,708522,Under construction,ASKELADD NORD (J),,,Equinor Energy AS,,,,,,,,0,99205.9190293,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (20.41130000000004 71.40010830000006)
platforms.919,Norway,283593,Operational,HEIDRUN D,Subsea steel,Subsea,Equinor Energy AS,NO_31/2-1,Crude Oil,,,,20000815,,358.5,158994.386679,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (7.335988900000075 65.36188890000005)
platforms.920,Norway,272701,Closed down,34/10-A-2 A,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,19861223,,138,124060.399401,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.2184528000000228 61.18013610000003)
platforms.921,Norway,451934,Under construction,DVALIN,,,Wintershall Dea Norge AS,,,,,,20201001,,380,169981.680206,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (7.1401694000000475 65.42943330000003)
platforms.922,Norway,441847,Operational,AASTA HANSTEEN B,,,Equinor Energy AS,,,,,,20181217,,1232,211368.016224,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (7.042883300000028 67.03418610000006)
platforms.924,Norway,409423,Operational,NORNE M,,,Equinor Energy AS,,,,,,20100501,,375,154434.986823,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (8.032088900000076 66.00492780000008)
platforms.925,Norway,417663,Operational,FOSSEKALL P,,,Equinor Energy AS,,,,,,20130313,,358,150149.149167,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (8.23301390000006 66.14369720000008)
platforms.927,Norway,451998,Under construction,BRASSE,,,,,,,,,20210101,,120,96679.6794699,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (3.032905600000049 60.40470000000005)
platforms.928,Norway,710870,Operational,DUVA K,,,Neptune Energy Norge AS,,,,,,20210823,,359,29214.364858,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (4.067416700000024 61.40022780000004)
platforms.929,Norway,281689,Operational,34/7-I-4 H TORDIS I-4,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19940603,,200,131053.892267,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.1167306000000394 61.27578610000006)
platforms.934,Norway,407849,Operational,VEGA SENTRAL,Subsea steel,Subsea,Wintershall Dea Norge AS,NO_35/8,Natural Gas,,,,20101202,,378,65099.3359384,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (3.358830600000033 61.26169170000003)
platforms.936,Norway,417781,Operational,DOMPAP S,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20140401,,343,147650.973979,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (8.333027800000025 66.23463060000006)
platforms.938,Norway,447355,Operational,MARIA G,,,Wintershall Dea Norge AS,,,,,,20171217,,304,139902.702615,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER - WATER INJECTION,POINT (6.976672200000053 64.97462780000006)
platforms.939,Norway,272757,Closed down,34/10-A-4 H,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,19861223,,144,123852.195846,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.2242972000000236 61.188202800000056)
platforms.942,Norway,408576,Operational,SKARV B/C VEST,Fixed steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,375,164216.26652,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (7.589080600000045 65.70391110000003)
platforms.943,Norway,375168,Operational,25/4-J-1 H,Subsea steel,Subsea,Aker BP ASA,NO_25/4,Crude Oil,,,,20080608,,123,161554.369358,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.057827800000041 59.58179720000004)
platforms.944,Norway,280821,Operational,15/9-E,Subsea steel,Subsea,Equinor Energy AS,NO_15/9,Natural Gas,,,,20041011,,110,200076.336345,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (1.722702800000036 58.49698330000007)
platforms.946,Norway,718441,Under construction,25/11 BALDER B,,,Vår Energi ASA,,,,,,,,125,141286.224248,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (2.3776556000000255 59.17683060000007)
platforms.947,Norway,279253,Operational,NORNE C,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19971114,,375,153636.859455,MULTI WELL TEMPLATE; WATER INJECTION,POINT (8.056033300000024 66.01441390000008)
platforms.948,Norway,377689,Operational,TYRIHANS C,Subsea steel,Subsea,Equinor Energy AS,NO_6407/1,Crude Oil,,,,20090708,,268,122228.838359,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (7.011727800000074 64.78986110000005)
platforms.949,Norway,285805,Operational,31/2-G-4 H TROLL G-4,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19950922,,330,65219.6630434,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.4393806000000495 60.752602800000034)
platforms.950,Norway,715937,Operational,16/4 SOLVEIG BD,,,Lundin Energy Norway AS,,,,,,20210930,,100,166291.447273,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.196888900000033 58.681222200000036)
platforms.951,Norway,407908,Operational,VEGA SØR,Subsea steel,Subsea,Wintershall Dea Norge AS,NO_35/11,Natural Gas,,,,20101202,,368,59182.1882743,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (3.441513900000075 61.173919400000045)
platforms.953,Norway,282473,Operational,HEIDRUN UMBILCAL BASE,Subsea steel,Other,Equinor Energy AS,NO_6507/7,,,,,19950815,,350,158946.40654,SUBSEA STRUCTURE; RISER BASE,POINT (7.3099944000000505 65.32402220000006)
platforms.955,Norway,409848,Operational,31/5-Z-1H TROLL Z-1,,,Equinor Energy AS,,,,,,20110301,,320,62011.3672118,SINGLE WELL TEMPLATE; GAS INJECTION,POINT (3.5110056000000327 60.74051940000004)
platforms.957,Norway,281633,Operational,34/7-I-3 H TORDIS I-3,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19940603,,200,131041.901028,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.117111100000045 61.27617500000008)
platforms.958,Norway,287653,Operational,NJORD T,Subsea steel,Subsea,OKEA ASA,NO_6407/10,,,,,20071210,,330,67284.645133,SUBSEA STRUCTURE; T-CONNECTION,POINT (7.259961100000055 64.20537780000006)
platforms.959,Norway,417412,Operational,6507/8-D-5 H,,,Equinor Energy AS,,,,,,20070201,,357,159058.677556,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.335280600000033 65.36287220000008)
platforms.961,Norway,438886,Operational,DRAUGEN SSBP,,,OKEA ASA,,,,,,20161124,,259,61851.9799586,SUBSEA STRUCTURE; BOOSTER,POINT (7.727202800000043 64.34163610000007)
platforms.962,Norway,278749,Operational,ÅSGARD G,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,19990520,,288,158753.449291,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,POINT (6.662000000000035 65.08826390000007)
platforms.963,Norway,286505,Operational,STT-IN,Subsea steel,Subsea,Gassco AS,NO_30/6,,,,,19900301,,110,99473.2012083,SUBSEA STRUCTURE; T-CONNECTION,POINT (2.896869400000071 60.56087500000007)
platforms.964,Norway,506143,Under construction,NOVA X,,,Wintershall Dea Norge AS,,,,,,,,368,48559.2037046,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (3.66562220000003 61.27630000000005)
platforms.966,Norway,284125,Operational,6407/9-E-1 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20021130,,293,54979.8459911,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.730841700000042 64.26247220000005)
platforms.967,Norway,278497,Operational,STATFJORD NORD F,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19950415,,285,140652.759927,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (1.9563333000000398 61.44472220000006)
platforms.968,Norway,287541,Under construction,KOLLSNES T,,,Gassco AS,,,,,,,,308,25675.4236827,SUBSEA STRUCTURE; T-CONNECTION,POINT (4.2631333000000495 60.60497780000003)
platforms.970,Norway,285581,Operational,31/2-E-6 H TROLL E-6,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19970418,,330,62719.0011124,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.445294400000023 60.79759440000004)
platforms.972,Norway,277545,Operational,SLEIPNER C,Subsea steel,Subsea,Equinor Energy AS,NO_15/9,Natural Gas,,,,19930911,,85,192794.362188,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (1.9296750000000316 58.43579440000008)
platforms.973,Norway,453826,Under construction,SMØRBUKK NORD,,,Equinor Energy AS,,,,,,20201101,,300,167391.131836,SINGLE WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (6.904336100000023 65.25139720000004)
platforms.974,Norway,278581,Operational,ÅSGARD I,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,19990520,,285,157949.441687,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.681750000000022 65.08536110000006)
platforms.977,Norway,278637,Operational,ÅSGARD N,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,272,161831.135802,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.851444400000048 65.17391670000006)
platforms.978,Norway,278441,Operational,STATFJORD NORD D,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19950616,,272,142919.299129,MULTI WELL TEMPLATE; WATER INJECTION,POINT (1.9141667000000666 61.44736110000008)
platforms.979,Norway,430668,Operational,BALDER SDU B,Subsea steel,Subsea,Vår Energi ASA,NO_25/11,Crude Oil,,,,20131118,,127,141233.713225,SUBSEA STRUCTURE; DISTRIBUTION,POINT (2.3783750000000623 59.17785560000004)
platforms.981,Norway,286561,Decommissioned,STATFJORD-A-ALP,Other,Other,Equinor Energy AS,NO_33/9,Crude Oil,,,,19791124,,145,142945.400473,LOADING SYSTEM,POINT (1.887227800000062 61.26350280000008)
platforms.982,Norway,282753,Closed down,25/11-A-20 H BALDER,,,Vår Energi ASA,,,,,,20011010,,127,142136.365696,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.3600472000000536 59.190944400000035)
platforms.983,Norway,286001,Operational,31/5-H-6 H TROLL H-6,Subsea steel,Subsea,Equinor Energy AS,NO_31/5,,,,,19951223,,317,62685.6553931,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.509433300000069 60.71301390000008)
platforms.984,Norway,443567,Operational,GULLFAKS SC,,,Equinor Energy AS,,,,,,20151011,,135,125233.001553,SUBSEA STRUCTURE; SUBSEA COMPRESSION,POINT (2.184444400000075 61.104444400000034)
platforms.985,Norway,281857,Operational,DRAUGEN PLEM-106,Subsea steel,Other,OKEA ASA,NO_6407/9,,,,,19931019,,256,58774.5336183,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,POINT (7.844227800000056 64.34680280000003)
platforms.986,Norway,284517,Under construction,34/8-A-18 AH/H,Subsea steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,,,335,113264.443985,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.4587333000000626 61.36990000000003)
platforms.989,Norway,375245,Operational,BOA,Subsea steel,Subsea,Aker BP ASA,NO_24/6,Crude Oil,,,,20080608,,125,168905.825925,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (1.923705600000062 59.576550000000054)
platforms.990,Norway,287429,Operational,KRISTIN T,Subsea steel,Subsea,Gassco AS,NO_6406/3,,,,,20051105,,319,144828.651312,SUBSEA STRUCTURE; T-CONNECTION,POINT (6.769780600000047 64.96661390000003)
platforms.991,Norway,356244,Operational,DRAUGEN C,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,276,58907.5125535,MULTI WELL TEMPLATE; WATER INJECTION,POINT (7.73840830000006 64.31071110000005)
platforms.992,Norway,408635,Operational,SKARV B/C ØST,Fixed steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,375,164156.807392,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (7.591288900000052 65.70436940000008)
platforms.993,Norway,282277,Operational,SIGYN,Subsea steel,Subsea,Equinor Energy AS,NO_16/7,Natural Gas,,,,20021222,,70,196372.630551,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (2.04376110000004 58.284991700000035)
platforms.994,Norway,284909,Operational,6407/7-A-13 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,20020101,,330,73842.8780225,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.20198890000006 64.27117220000008)
platforms.995,Norway,435301,Operational,6407/9-G-3 H,,,OKEA ASA,,,,,,20160623,,268,60945.1854867,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.7526611000000685 64.34035560000007)
platforms.997,Norway,283257,Operational,25/11-A-6 H BALDER,,,Vår Energi ASA,,,,,,19991113,,127,142114.157803,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.3603917000000365 59.19120280000004)
platforms.998,Norway,287177,Operational,JOTUN SSIV,Subsea steel,Subsea,Vår Energi ASA,NO_25/8,Crude Oil,,,,19991122,,126,142294.241637,SUBSEA STRUCTURE; ISOLATION VALVE,POINT (2.364486100000022 59.45752780000004)
platforms.1000,Norway,410887,Operational,GOLIAT FPSO,,,Vår Energi ASA,,,,,,20160312,,371,54153.7957127,FPSO; OFFLOADING - OIL PRODUCER - PROCESSING - QUARTER,POINT (22.252508300000045 71.31103890000003)
platforms.1003,Norway,284881,Operational,31/2-D-2 H TROLL D-2,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19960214,,338,60250.5221282,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.4454361000000517 60.858466700000065)
platforms.1004,Norway,284993,Operational,6407/7-A-14 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73853.5315047,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.201780600000063 64.27121110000007)
platforms.1005,Norway,284461,Operational,34/8-A-13 H,Subsea steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,20000101,,335,113290.250023,SINGLE WELL TEMPLATE; WATER PRODUCER,POINT (2.45831110000006 61.37043060000008)
platforms.1006,Norway,364278,Operational,SNØHVIT D,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Natural Gas,,,,20070821,,337,99228.2973601,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (21.273000000000025 71.59216670000006)
platforms.1009,Norway,376298,Operational,25/4-E1 H VILJE E1,Subsea steel,Subsea,Aker BP ASA,NO_25/4,Crude Oil,,,,20080801,,122,151079.488391,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.2784000000000333 59.656369400000074)
platforms.1010,Norway,708225,Under construction,ASKELADD SØR (L),,,Equinor Energy AS,,,,,,,,0,94403.3207838,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (20.389941700000065 71.34095000000008)
platforms.1012,Norway,443856,Operational,GINA KROG,,,Equinor Energy AS,,,,,,20170630,,116,197747.203758,JACKET 4 LEGS; PROCESSING - QUARTER - WELLHEAD,POINT (1.6967889000000582 58.57218060000008)
platforms.1013,Norway,287205,Operational,STATFJ-NORD SSIV,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19990826,,145,142430.063968,SUBSEA STRUCTURE; ISOLATION VALVE,POINT (1.9089861000000496 61.296808300000066)
platforms.1014,Norway,449339,Operational,JOHAN SVERDRUP F,,,Equinor Energy AS,,,,,,20191005,,120,140384.332711,MULTI WELL TEMPLATE; WATER INJECTION,POINT (2.597838900000056 58.78479170000003)
platforms.1017,Norway,283229,Operational,25/11-A-5 H BALDER,,,Vår Energi ASA,,,,,,19991115,,127,142159.779207,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.359497200000021 59.19172780000008)
platforms.1019,Norway,716235,Operational,16/4 SOLVEIG BE,,,Lundin Energy Norway AS,,,,,,20210930,,100,166150.387511,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.2028000000000247 58.67761390000004)
platforms.1021,Norway,451420,Operational,6507/5-L-1H ÆRFUGL,,,Aker BP ASA,,,,,,20201112,,406,163879.640321,SINGLE WELL TEMPLATE; GAS PRODUCER,POINT (7.490302800000052 65.62706110000005)
platforms.1022,Norway,285525,Operational,31/2-E-3 H TROLL E-3,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,20030401,,330,62415.0730115,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.449375000000032 60.799811100000056)
platforms.1025,Norway,280233,Decommissioned,15/6-A-1 H Glitne,Subsea steel,Subsea,,NO_15/6,Crude Oil,,,,20010829,,112,193218.958008,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.6681111000000328 58.71302780000008)
platforms.1027,Norway,370415,Operational,34/8-A-33 H,,,Equinor Energy AS,,,,,,20051018,,335,113240.261062,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.459236100000055 61.370330600000045)
platforms.1031,Norway,359760,Operational,BYGGVE,Subsea steel,Subsea,TotalEnergies EP Norge AS,NO_25/5,Natural Gas,,,,20040301,,120,138072.895164,SINGLE WELL TEMPLATE; GAS PRODUCER,POINT (2.497202800000025 59.61767780000008)
platforms.1032,Norway,411354,Operational,GOLIAT I,,,Vår Energi ASA,,,,,,20160312,,327,47425.6241936,MULTI WELL TEMPLATE; WATER INJECTION,POINT (22.251172200000042 71.24244720000007)
platforms.1033,Norway,376822,Decommissioned,NAVION SAGA,Floating steel,Above water production,Lundin Energy Norway AS,NO_15/9,Crude Oil,,,,20080212,,90,192439.452098,FSU; OFFLOADING - STORAGE,POINT (1.9084528000000205 58.46135830000003)
platforms.1036,Norway,278609,Operational,ÅSGARD L,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,19990520,,288,160162.974728,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.782694400000025 65.13825000000003)
platforms.1037,Norway,721563,Under construction,JOHAN SVERDRUP K,,,Equinor Energy AS,,,,,,,,109,143540.289085,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.570500000000038 58.74803060000005)
